day,person_direction,top_outer_category,top_outer_neck_style,top_outer_fit,top_outer_formality,top_outer_design,top_outer_length,top_outer_sleeve_length,top_outer_reflection,top_outer_color,presence_of_top_inner,top_inner_category,top_inner_neck_style,top_inner_fit,top_inner_formality,top_inner_design,top_inner_length,top_inner_sleeve_length,top_inner_reflection,top_inner_color,bottom_category,bottom_design,bottom_fit,bottom_formality,bottom_color,person_id
6,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"dark_red,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
6,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_red",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
7,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"light_grey,black,white,red",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
7,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
8,front,t-shirt,round-neck,medium,informal,text,short,short,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
8,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
9,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
9,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
10,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"light_grey,black",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
10,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
11,front,t-shirt,round-neck,medium,informal,text,short,short,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
11,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"black",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
12,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"light_grey,black,white,red",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
12,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
13,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"dark_red,black",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
13,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_red",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
14,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"light_blue,dark_blue,white",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
14,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
15,front,jacket,collar,medium,informal,solid,short,long,yes,"black",yes,t-shirt,round-neck,medium,informal,text,short,?,no,"dark_grey,light_grey",long_pants,solid,medium,semi-formal,"black",person1
15,back,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
16,front,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
16,back,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
17,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"light_grey,black,white,red",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
17,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
18,front,shirt,collar,medium,formal,solid,short,medium,no,"grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
18,back,shirt,collar,medium,formal,solid,short,medium,no,"grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
19,front,jacket,collar,medium,informal,solid,short,long,yes,"black",yes,shirt,collar,medium,formal,solid,short,?,no,"grey",long_pants,solid,medium,semi-formal,"black",person1
19,back,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
20,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,light_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
20,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,light_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
21,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"light_blue,dark_blue,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
21,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
22,front,jacket,collar,medium,informal,solid,short,long,yes,"black",yes,shirt,collar,medium,formal,solid,short,?,no,"light_blue,blue",long_pants,solid,medium,semi-formal,"black",person1
22,back,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
23,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
23,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
24,front,shirt,collar,medium,formal,solid,short,medium,no,"dark_pink",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
24,back,shirt,collar,medium,formal,solid,short,medium,no,"dark_pink",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
25,front,jacket,collar,medium,informal,solid,short,long,yes,"black",yes,shirt,collar,medium,formal,checked_pattern,short,?,no,"black,white",long_pants,solid,medium,semi-formal,"black",person1
25,back,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
26,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"white,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
26,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"white,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
27,front,jacket,collar,medium,informal,solid,short,long,yes,"black",yes,shirt,collar,medium,formal,checked_pattern,short,?,no,"dark_blue,white",long_pants,solid,medium,semi-formal,"black",person1
27,back,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
28,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"light_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
28,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
29,front,jacket,collar,medium,informal,solid,short,long,yes,"black",yes,shirt,collar,medium,formal,solid,short,?,no,"dark_pink",long_pants,solid,medium,semi-formal,"black",person1
29,back,jacket,collar,medium,informal,solid,short,long,yes,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
30,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"light_grey,black,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"blue",person1
30,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"blue",person1
1,front,t-shirt,round-neck,tight,informal,floral_pattern,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
1,back,t-shirt,?,tight,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
2,front,t-shirt,round-neck,loose,semi-formal,solid,short,sleeveless,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"blue",person2
2,back,t-shirt,?,loose,semi-formal,solid,short,sleeveless,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"blue",person2
3,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"blue,dark_pink,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"blue",person2
3,back,shirt,?,medium,semi-formal,checked_pattern,short,long,no,"blue,dark_pink,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"blue",person2
4,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"dark_blue,light_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
4,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
5,front,t-shirt,?,medium,informal,hor_stripes,short,long,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
5,back,t-shirt,?,medium,informal,hor_stripes,short,long,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
6,front,t-shirt,round-neck,medium,informal,dotted_pattern,short,long,no,"light_grey,dark_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
6,back,t-shirt,round-neck,medium,informal,dotted_pattern,short,long,no,"light_grey,dark_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person2
7,front,hoodie,v-neck,loose,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"blue",person2
7,back,hoodie,?,loose,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"blue",person2
8,front,t-shirt,round-neck,loose,semi-formal,solid,short,sleeveless,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue",person2
8,back,t-shirt,?,loose,semi-formal,solid,short,sleeveless,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"blue",person2
9,front,t-shirt,round-neck,loose,semi-formal,solid,short,sleeveless,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
9,back,t-shirt,?,loose,semi-formal,solid,short,sleeveless,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
10,front,t-shirt,round-neck,loose,informal,graphics_with_text,short,short,no,"light_blue_dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
10,back,t-shirt,round-neck,loose,informal,solid,short,short,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
11,front,t-shirt,round-neck,medium,informal,ver_stripes,short,long,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
11,back,t-shirt,round-neck,medium,informal,ver_stripes,short,long,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
12,front,sweater,turtle-neck,medium,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"blue",person2
12,back,sweater,?,medium,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"blue",person2
13,front,t-shirt,round-neck,loose,informal,floral_pattern,short,sleeveless,no,"light_green,white",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"blue,light_blue",person2
13,back,t-shirt,?,loose,informal,floral_pattern,short,sleeveless,no,"light_green,white",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"blue,light_blue",person2
14,front,jacket,?,loose,informal,solid,short,long,no,"dark_purple",yes,sweater,turtle-neck,medium,informal,solid,?,long,no,"?",jeans,N-tone,tight,informal,"light_blue",person2
14,back,jacket,?,loose,informal,solid,short,long,no,"dark_purple,light_purple",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
15,front,t-shirt,round-neck,loose,informal,graphics_with_text,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
15,back,t-shirt,?,loose,informal,solid,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
16,front,t-shirt,round-neck,loose,informal,solid,short,sleeveless,no,"red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
16,back,t-shirt,?,loose,informal,solid,short,sleeveless,no,"red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
17,front,sweater,turtle-neck,medium,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
17,back,sweater,turtle-neck,medium,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
18,front,t-shirt,round-neck,loose,informal,solid,short,sleeveless,no,"red",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"black",person2
18,back,t-shirt,?,loose,informal,solid,short,sleeveless,no,"red",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"black",person2
19,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"black,red",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
19,back,shirt,?,medium,semi-formal,checked_pattern,short,long,no,"black,red",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
20,front,sweater,collar,tight,informal,solid,short,long,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
20,back,sweater,?,tight,informal,solid,short,long,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
21,front,sweater,round-neck,tight,informal,checked_pattern,short,long,no,"pink",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
21,back,sweater,?,tight,informal,checked_pattern,short,long,no,"pink",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,tight,informal,"light_blue",person2
22,front,t-shirt,round-neck,tight,informal,floral_pattern,short,medium,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
22,back,t-shirt,round-neck,tight,informal,floral_pattern,short,medium,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
23,front,hoodie,v-neck,medium,informal,floral_pattern,short,long,no,"light_brown,dark_red,light_brown",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
23,back,hoodie,?,medium,informal,floral_pattern,short,long,no,"light_brown,dark_red,light_brown",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
24,front,shirt,collar,medium,formal,checked_pattern,short,long,no,"dark_pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
24,back,shirt,?,medium,formal,checked_pattern,short,long,no,"dark_pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
25,front,t-shirt,turtle-neck,tight,informal,solid,short,long,no,"light_pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
25,back,t-shirt,?,tight,informal,solid,short,long,no,"light_pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
26,front,t-shirt,round-neck,tight,informal,solid,short,long,no,"dark_red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
26,back,t-shirt,?,tight,informal,solid,short,long,no,"dark_red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
27,front,t-shirt,round-neck,loose,informal,graphics_with_text,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
27,back,t-shirt,?,loose,informal,solid,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
28,front,shirt,collar,medium,formal,checked_pattern,short,long,no,"dark_pink",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"black",person2
28,back,shirt,?,medium,formal,checked_pattern,short,long,no,"dark_pink",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"black",person2
29,front,t-shirt,round-neck,tight,informal,floral_pattern,short,medium,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"black",person2
29,back,t-shirt,round-neck,tight,informal,floral_pattern,short,medium,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"black",person2
30,front,t-shirt,round-neck,tight,informal,solid,short,long,no,"dark_red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
30,back,t-shirt,?,tight,informal,solid,short,long,no,"dark_red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"black",person2
1,front,hoodie,hood,medium,informal,graphics,short,long,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",sweat_pants,text,medium,informal,"dark_blue",person3
1,back,hoodie,hood,medium,informal,solid,short,long,no,"dark_green",no,?,?,?,?,?,?,?,?,"?",sweat_pants,solid,medium,informal,"dark_blue",person3
2,front,t-shirt,v-neck,loose,informal,graphics_with_text,short,short,no,"black,white,pink",no,?,?,?,?,?,?,?,?,"?",sweat_pants,text,loose,informal,"black",person3
2,back,t-shirt,v-neck,loose,informal,graphics_with_text,short,short,no,"black,white,pink",no,?,?,?,?,?,?,?,?,"?",sweat_pants,solid,loose,informal,"black",person3
3,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,long,no,"blue,white,dark_blue",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"dark_blue",person3
3,back,t-shirt,round-neck,medium,informal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",shorts,solid,tight,informal,"dark_blue",person3
4,front,t-shirt,collar,medium,informal,solid,short,long,no,"purple",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,semi-formal,"black",person3
4,back,t-shirt,?,medium,informal,solid,short,long,no,"purple",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,semi-formal,"black",person3
5,front,t-shirt,round-neck,medium,informal,solid,short,long,no,"pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,semi-formal,"black",person3
5,back,t-shirt,?,medium,informal,solid,short,long,no,"pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,semi-formal,"black",person3
6,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
6,back,t-shirt,?,medium,informal,solid,short,short,no,"blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
7,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"dark_blue,dark_green,whtie",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
7,back,shirt,?,medium,semi-formal,checked_pattern,short,long,no,"dark_blue,dark_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
8,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"dark_red,black",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
8,back,shirt,?,medium,semi-formal,checked_pattern,short,long,no,"dark_red,black",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
9,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"dark_red,black",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
9,back,shirt,?,medium,semi-formal,checked_pattern,short,long,no,"dark_red,black",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
10,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
10,back,t-shirt,?,medium,informal,solid,short,short,no,"blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
11,front,hoodie,hood,medium,informal,text,short,long,no,"purple,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
11,back,hoodie,hood,medium,informal,solid,short,long,no,"purple",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
12,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"dark_blue,dark_green,whtie",yes,t-shirt,round-neck,medium,informal,graphics_with_text,short,?,no,"blue,white",jeans,solid,tight,semi-formal,"dark_blue",person3
12,back,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"dark_blue,dark_green,whtie",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
13,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"dark_red,black",yes,t-shirt,round-neck,medium,informal,graphics_with_text,short,?,no,"blue,white",jeans,solid,tight,semi-formal,"dark_blue",person3
13,back,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"dark_red,black",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"dark_blue",person3
14,front,t-shirt,round-neck,medium,informal,solid,short,long,no,"light_pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,semi-formal,"black",person3
14,back,t-shirt,?,medium,informal,solid,short,long,no,"light_pink",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,semi-formal,"black",person3
15,front,shirt,collar,medium,informal,checked_pattern,long,long,no,"green,brown,light_brown,begie",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"dark_grey",person3
15,back,shirt,?,medium,informal,checked_pattern,long,long,no,"green,brown,light_brown,begie",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"dark_grey",person3
16,front,shirt,collar,medium,semi-formal,dotted_pattern,short,long,no,"dark_brown,yellow",yes,t-shirt,v-neck,medium,informal,solid,short,?,no,"dark_grey",jeans,solid,tight,informal,"dark_grey",person3
16,back,shirt,?,medium,semi-formal,dotted_pattern,short,long,no,"dark_brown,yellow",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,informal,"dark_grey",person3
17,front,sweater,round-neck,medium,informal,solid,short,long,no,"dark_brown",yes,t-shirt,?,medium,informal,solid,long,?,no,"dark_grey",jeans,solid,tight,semi-formal,"black",person3
17,back,sweater,round-neck,medium,informal,solid,short,long,no,"dark_brown",yes,t-shirt,?,medium,informal,solid,long,?,no,"dark_grey",jeans,solid,tight,semi-formal,"black",person3
18,front,jacket,hood,medium,informal,text,short,long,no,"black,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
18,back,jacket,hood,medium,informal,text,short,long,no,"black,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
19,front,sweater,?,loose,informal,solid,short,long,no,"dark_grey",yes,t-shirt,round-neck,medium,informal,solid,short,?,no,"light_pink",jeans,solid,tight,semi-formal,"black",person3
19,back,sweater,?,loose,informal,solid,short,long,no,"dark_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
20,front,t-shirt,round-neck,loose,informal,graphics,short,long,yes,"light_grey,grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
20,back,t-shirt,round-neck,loose,informal,solid,short,long,no,"grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
21,front,shirt,collar,medium,informal,text,short,long,no,"grey,black,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
21,back,shirt,collar,medium,informal,text,short,long,no,"grey,black,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
22,front,sweater,?,medium,informal,solid,long,long,no,"dark_grey",yes,t-shirt,round-neck,medium,informal,text,short,?,no,"white",sweat_pants,text,medium,informal,"dark_blue",person3
22,back,sweater,?,medium,informal,solid,long,long,no,"dark_grey",no,?,?,?,?,?,?,?,?,"?",sweat_pants,solid,medium,informal,"dark_blue",person3
23,front,t-shirt,round-neck,medium,informal,graphics,short,long,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,tight,semi-formal,"black",person3
